datetime,date,open,high,low,close,volume,symbol
2019-09-19 09:43:00+09:00,2019-09-19,15700,15700,15700,15700,2,000760
2019-09-19 09:01:00+09:00,2019-09-19,1130,1130,1130,1130,32925,040350
2019-09-19 11:43:00+09:00,2019-09-19,2195,2195,2195,2195,1,309930
2019-09-19 09:01:00+09:00,2019-09-19,12350,12350,12350,12350,628,225570
2019-09-19 09:01:00+09:00,2019-09-19,2320,2320,2320,2320,71,089150
2019-09-19 09:01:00+09:00,2019-09-19,1660,1670,1630,1640,208378,016670
2019-09-19 09:01:00+09:00,2019-09-19,1115,1115,1110,1110,14089,029480
2019-09-19 09:01:00+09:00,2019-09-19,2380,2475,2380,2475,1826,013720
2019-09-19 09:01:00+09:00,2019-09-19,19050,19050,18900,18900,3942,105630
2019-09-19 09:01:00+09:00,2019-09-19,1335,1335,1335,1335,165,016880
2019-09-19 09:01:00+09:00,2019-09-19,4560,4560,4560,4560,19,101330
2019-09-19 09:01:00+09:00,2019-09-19,15750,15800,15700,15700,6259,000990
2019-09-19 09:01:00+09:00,2019-09-19,18000,18000,18000,18000,1,122310
2019-09-19 09:01:00+09:00,2019-09-19,6600,6990,6600,6990,2,203400
2019-09-19 09:01:00+09:00,2019-09-19,661,662,657,662,408,011080
2019-09-19 09:01:00+09:00,2019-09-19,2085,2085,2085,2085,112,187790
2019-09-19 10:29:00+09:00,2019-09-19,3665,3665,3665,3665,1,267810
2019-09-19 09:01:00+09:00,2019-09-19,24100,24250,24100,24150,7909,003490
2019-09-19 09:01:00+09:00,2019-09-19,7890,7890,7890,7890,2,016710
2019-09-19 09:01:00+09:00,2019-09-19,10550,10550,10550,10550,584,089030
2019-09-19 09:01:00+09:00,2019-09-19,2785,2810,2785,2810,4312,080000
2019-09-19 09:01:00+09:00,2019-09-19,1645,1660,1645,1660,1243,053270
2019-09-19 09:01:00+09:00,2019-09-19,2520,2520,2510,2510,391,001250
2019-09-19 09:09:00+09:00,2019-09-19,4105,4105,4105,4105,1,005750
2019-09-19 09:01:00+09:00,2019-09-19,2410,2410,2410,2410,981,008260
2019-09-19 09:01:00+09:00,2019-09-19,7110,7110,7100,7100,289,222800
2019-09-19 09:01:00+09:00,2019-09-19,1795,1795,1795,1795,34,039240
2019-09-19 09:01:00+09:00,2019-09-19,7300,7330,7300,7300,3028,263690
2019-09-19 09:01:00+09:00,2019-09-19,2195,2195,2195,2195,546,054090
2019-09-19 09:01:00+09:00,2019-09-19,18400,18400,18400,18400,138,214430
2019-09-19 09:01:00+09:00,2019-09-19,4840,4840,4840,4840,205,263860
2019-09-19 09:01:00+09:00,2019-09-19,2285,2315,2285,2315,5683,227950
2019-09-19 09:01:00+09:00,2019-09-19,7080,7110,7080,7110,40,138610
2019-09-19 09:01:00+09:00,2019-09-19,223000,223000,223000,223000,20,049770
2019-09-19 09:37:00+09:00,2019-09-19,4970,4970,4970,4970,10,189540
2019-09-19 09:01:00+09:00,2019-09-19,3340,3340,3340,3340,819,000370
2019-09-19 09:01:00+09:00,2019-09-19,9620,9700,9620,9660,13539,317850
2019-09-19 09:01:00+09:00,2019-09-19,5070,5080,5070,5080,333,149980
2019-09-19 13:30:00+09:00,2019-09-19,14700,14700,14700,14700,3,229000
2019-09-19 09:09:00+09:00,2019-09-19,57200,57200,57200,57200,3,001720
2019-09-19 09:02:00+09:00,2019-09-19,5700,5700,5700,5700,745,053700
2019-09-19 09:01:00+09:00,2019-09-19,4450,4450,4450,4450,7402,147760
2019-09-19 09:01:00+09:00,2019-09-19,78100,78100,78100,78100,1,003650
2019-09-19 09:01:00+09:00,2019-09-19,813,824,813,824,21105,078590
2019-09-19 09:01:00+09:00,2019-09-19,3360,3360,3320,3360,21,091440
2019-09-19 09:01:00+09:00,2019-09-19,854,854,854,854,44,043260
2019-09-19 09:01:00+09:00,2019-09-19,1590,1605,1590,1605,14649,226440
2019-09-19 09:01:00+09:00,2019-09-19,2540,2540,2540,2540,850,059210
2019-09-19 09:01:00+09:00,2019-09-19,10950,11150,10950,11150,697,182400
2019-09-19 09:07:00+09:00,2019-09-19,19600,19600,19600,19600,2,002200
2019-09-19 09:01:00+09:00,2019-09-19,829,833,829,833,4316,097780
2019-09-19 09:01:00+09:00,2019-09-19,4415,4470,4415,4470,2244,017180
2019-09-19 09:01:00+09:00,2019-09-19,74200,74200,74000,74000,1166,192820
2019-09-19 09:01:00+09:00,2019-09-19,2725,2735,2710,2710,58534,133750
